Unnamed: 0,NOME,FAZ,TAL,tipocorte,variedad,madurada,producto,dosismad,semsmad,edad,cortes,me,vejez,sacarosa,mes,periodo,TCH,lluvias,grupo_tenencia,pct_diatrea,Categoria_TCH,Categoria_Sacarosa
57,ARANJUEZ,80552,12,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,7.9,12.0,3,9.8,2.7,12.9,1,202101,138,104,3,4.4,Medio,Medio
58,AURORA CUCALON,80601,990,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,8.0,13.1,1,12.4,1.5,13.1,4,201604,138,199,3,3.7,Medio,Medio
59,AURORA CUCALON,80601,990,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.4,7.4,12.1,3,9.4,17.9,12.8,6,201806,116,315,3,4.0,Bajo,Medio
60,AURORA CUCALON,80601,990,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,11.9,13.0,4,8.9,1.9,12.5,7,201907,113,320,3,4.8,Bajo,Medio
61,AURORA CUCALON,80601,990,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,6.1,11.5,5,10.0,1.2,12.3,6,202006,98,62,3,2.6,Bajo,Bajo
62,AURORA CUCALON,80601,990A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,5.3,11.8,2,10.3,14.4,10.8,5,201605,119,464,3,5.2,Bajo,Bajo
63,AURORA CUCALON,80601,990A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.4,6.9,12.0,4,7.7,19.2,12.0,5,201805,109,315,3,4.0,Bajo,Bajo
64,AURORA CUCALON,80601,990A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,12.3,13.2,5,9.4,1.7,13.1,7,201907,126,345,3,4.8,Bajo,Medio
65,AURORA CUCALON,80601,990A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,5.9,11.3,6,10.1,1.2,13.0,6,202006,110,62,3,2.6,Bajo,Medio
66,AURORA CUCALON,80601,991,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,11.4,12.7,2,9.7,1.9,14.8,9,201509,150,42,3,2.3,Medio,Alto
70,AURORA CUCALON,80601,991B,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.5,8.3,14.3,1,8.1,15.3,13.4,8,201808,144,331,3,5.6,Medio,Alto
71,AURORA CUCALON,80601,991B,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,15.1,13.8,2,8.5,1.5,13.2,10,201910,123,160,3,3.1,Bajo,Alto
72,AURORA CUCALON,80601,991B,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,10.9,12.5,3,8.7,2.5,14.0,10,202010,114,118,3,3.1,Bajo,Alto
73,AURORA CUCALON,80601,991C,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,11.9,12.8,6,11.4,7.6,12.9,12,201912,112,369,3,3.1,Bajo,Medio
74,AURORA CUCALON,80601,991C,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,10.9,13.5,7,11.0,1.6,12.6,1,202101,127,203,3,3.1,Bajo,Medio
75,AURORA CUCALON,80601,991D,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,11.3,12.6,3,10.1,1.6,12.5,10,201610,138,192,3,3.1,Medio,Medio
76,AURORA CUCALON,80601,991D,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,15.1,13.8,6,8.3,3.7,13.4,10,201910,136,131,3,3.1,Medio,Alto
77,AURORA CUCALON,80601,991D,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,11.0,12.5,7,13.4,2.0,13.6,10,202010,117,69,3,3.1,Bajo,Alto
78,AURORA CUCALON,80601,991E,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,9.7,11.9,5,9.9,1.5,13.4,2,201902,117,10,3,4.8,Bajo,Alto
79,AURORA CUCALON,80601,991G,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.5,8.4,12.8,5,9.6,0.8,12.8,8,201808,130,65,3,5.5,Bajo,Medio
86,BARCELONA,80492,6,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,6.1,14.3,2,7.8,1.3,12.2,12,201712,116,0,3,1.4,Bajo,Bajo
87,BARCELONA,80492,6,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,7.9,12.7,4,9.3,1.5,12.9,1,202001,113,0,3,3.0,Bajo,Medio
88,BARCELONA,80492,8,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.5,9.1,12.1,3,8.2,1.5,13.0,9,202009,111,0,3,1.7,Bajo,Medio
89,BARCELONA,80492,9,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,8.3,12.2,3,9.1,1.3,12.9,12,201812,114,0,3,3.0,Bajo,Medio
90,BARCELONA,80492,9,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,4.7,11.3,4,7.6,1.7,12.5,11,201911,115,0,3,3.0,Bajo,Medio
98,BERLIN TENORIO,81132,1,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,7.7,12.5,1,8.2,4.7,12.4,5,201905,185,0,3,4.1,Alto,Bajo
99,BERLIN TENORIO,81132,1,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.5,6.7,11.5,2,8.6,1.5,11.9,4,202004,163,0,3,3.9,Alto,Bajo
105,BETANIA,80108,314,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,5.3,11.5,3,13.3,27.9,11.0,6,201906,90,214,1,4.7,Bajo,Bajo
106,BETANIA,80108,314,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,5.6,11.4,4,10.9,1.5,12.1,6,202006,101,67,1,6.8,Bajo,Bajo
110,BETANIA,80108,320,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.3,11.4,14.8,3,8.3,5.3,12.2,3,201803,145,509,1,10.6,Medio,Bajo
111,BETANIA,80108,320,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,7.7,12.0,4,9.6,1.5,14.3,3,201903,92,81,1,2.8,Bajo,Alto
112,BETANIA,80108,320,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,8.9,12.2,5,7.1,1.4,12.6,3,202003,102,128,1,2.8,Bajo,Medio
113,BETANIA,80108,320B,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.1,7.6,12.6,5,7.7,17.9,12.6,5,201805,137,268,1,5.9,Medio,Medio
114,BETANIA,80108,320B,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,6.0,11.4,6,9.6,1.7,11.1,4,201904,132,221,1,4.7,Bajo,Bajo
115,BETANIA,80108,320B,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,7.3,11.9,7,9.4,1.3,12.0,4,202004,130,261,1,3.6,Bajo,Bajo
118,BETANIA,80108,321,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,10.3,13.5,1,8.0,2.0,13.4,10,201910,125,259,1,2.8,Bajo,Alto
119,BETANIA,80108,321,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,13.4,13.1,2,9.3,2.5,13.9,11,202011,105,112,1,4.4,Bajo,Alto
120,BETANIA,80108,322,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,9.7,12.8,1,9.7,1.5,11.9,12,201612,150,470,1,7.0,Medio,Bajo
121,BETANIA,80108,322,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,6.3,11.0,3,9.6,2.2,13.2,8,201808,105,77,1,5.7,Bajo,Alto
122,BETANIA,80108,322,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,15.3,13.8,4,10.9,1.4,13.6,10,201910,145,119,1,4.5,Medio,Alto
123,BETANIA,80108,322A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,6.3,11.6,4,10.7,20.7,12.2,4,202004,107,158,1,7.1,Bajo,Bajo
125,BETANIA,80108,324A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,9.7,14.3,3,12.6,14.8,11.0,4,201804,181,369,1,6.1,Alto,Bajo
126,BETANIA,80108,324A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,4.4,11.7,5,6.7,14.3,13.0,3,202003,141,145,1,2.8,Medio,Medio
129,BETANIA,80108,325,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,5.7,11.8,2,9.8,1.7,12.3,5,202005,152,181,1,5.0,Medio,Bajo
132,BETANIA,80108,330,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,8.9,13.3,5,12.4,2.0,12.0,4,201804,155,317,1,5.4,Alto,Bajo
133,BETANIA,80108,330,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,4.3,11.1,6,12.9,2.1,10.8,4,201904,152,203,1,4.5,Medio,Bajo
134,BETANIA,80108,330,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,5.4,11.7,7,8.9,1.9,11.7,3,202003,136,119,1,2.8,Medio,Bajo
137,BETANIA MORALES,80187,1,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,7.4,12.9,1,6.6,2.9,13.6,12,201512,138,267,2,4.3,Medio,Alto
138,BETANIA MORALES,80187,3,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,3.9,11.0,2,9.0,4.2,12.3,2,201902,55,19,2,1.4,Bajo,Bajo
139,BETANIA MORALES,80187,3,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,13.0,13.1,3,8.4,36.1,14.2,3,202003,99,289,2,2.8,Bajo,Alto
140,BETANIA MORALES,80187,4,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,14.4,17.9,1,14.3,3.8,13.3,1,201801,140,684,2,4.2,Medio,Alto
141,BETANIA MORALES,80187,4,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,3.9,11.0,2,8.2,3.7,12.7,2,201902,118,19,2,0.6,Bajo,Medio
142,BETANIA MORALES,80187,4,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,12.9,13.1,3,8.2,2.9,13.8,3,202003,103,287,2,2.8,Bajo,Alto
143,BETANIA MORALES,80187,005A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,3.9,11.2,2,7.7,3.1,12.3,2,201902,60,19,2,3.0,Bajo,Bajo
144,BETANIA MORALES,80187,6,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,4.1,11.3,2,10.0,3.5,12.9,2,201902,98,21,2,1.6,Bajo,Medio
145,BETANIA MORALES,80187,6,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,12.6,12.9,3,8.4,8.7,12.7,3,202003,102,273,2,2.8,Bajo,Medio
146,BETANIA MORALES,80187,006A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,4.0,11.3,2,8.1,2.7,12.5,2,201902,69,21,2,3.0,Bajo,Medio
147,BETANIA MORALES,80187,7,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,4.1,11.3,2,10.7,2.6,12.6,2,201902,70,21,2,3.0,Bajo,Medio
148,BETANIA MORALES,80187,8,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,7.4,12.7,1,7.2,2.9,13.8,12,201512,132,237,2,2.4,Bajo,Alto
151,BRITANIA,80474,2,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,6.3,12.6,4,7.8,20.1,13.3,10,201910,185,0,3,4.4,Alto,Alto
152,BRITANIA,80474,2,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.6,13.3,5,7.2,2.2,13.0,11,202011,170,0,3,4.4,Alto,Medio
153,BRITANIA,80474,3,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.7,12.7,5,10.0,2.3,13.6,11,202011,161,0,3,4.4,Alto,Alto
154,BRITANIA,80474,4,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,10.0,12.8,5,8.2,2.7,14.4,11,202011,134,0,3,4.4,Medio,Alto
155,BRITANIA,80474,5,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,6.9,13.4,1,8.5,3.1,12.5,6,201806,153,72,3,9.8,Medio,Medio
156,BRITANIA,80474,5,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,6.3,13.7,3,8.1,3.3,13.0,9,202009,139,0,3,3.3,Medio,Medio
157,BRITANIA,80474,005A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.7,12.7,5,15.0,2.1,13.3,11,202011,119,0,3,4.4,Bajo,Alto
159,BRITANIA,80474,8,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.9,12.7,6,10.7,2.5,13.2,11,202011,135,0,3,4.4,Medio,Alto
160,BRITANIA,80474,010A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,7.9,14.0,3,9.6,6.2,10.3,5,202005,137,0,3,4.4,Medio,Bajo
161,BRITANIA,80474,11,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,9.7,12.6,5,8.4,2.4,13.2,11,202011,145,0,3,4.4,Medio,Alto
166,CAIMOS,80189,1,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.7,7.1,12.5,1,6.7,2.9,13.2,8,201608,113,115,2,0.8,Bajo,Alto
167,CAIMOS,80189,1,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,6.7,11.6,5,11.8,3.9,13.0,8,202008,112,131,2,3.2,Bajo,Medio
172,CAIMOS,80189,3,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.7,7.1,12.6,1,7.1,2.9,14.4,8,201608,119,118,2,0.8,Bajo,Alto
173,CAIMOS,80189,3,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.5,9.9,12.2,3,6.5,45.5,15.1,8,201808,82,154,2,2.6,Bajo,Alto
176,CAIMOS,80189,4,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.5,10.0,12.2,3,8.7,2.5,14.4,8,201808,80,154,2,1.9,Bajo,Alto
177,CAIMOS,80189,004A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.0,7.6,12.9,1,9.8,3.1,15.1,12,201512,107,267,2,3.2,Bajo,Alto
178,CANTACLARO,80269,1,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.6,12.6,12.9,2,7.2,3.3,12.6,9,201809,88,99,2,3.2,Bajo,Medio
179,CANTACLARO,80269,1,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,28.6,13.8,2,7.6,2.6,12.0,8,201908,112,379,2,2.4,Bajo,Bajo
180,CANTACLARO,80269,1,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,0.8,7.0,12.0,3,10.0,3.3,12.5,8,202008,115,69,2,0.9,Bajo,Medio
181,CANTACLARO,80269,001A,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,18.6,17.3,1,8.8,3.9,12.0,2,201802,150,676,2,5.7,Medio,Bajo
185,CANTACLARO,80269,2,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,18.6,16.4,1,11.0,3.7,13.8,2,201802,139,637,2,7.8,Medio,Alto
186,CANTACLARO,80269,2,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,9.3,11.7,2,15.0,3.5,11.8,2,201902,77,25,2,3.0,Bajo,Bajo
187,CANTACLARO,80269,2,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,14.7,13.5,3,10.3,3.2,13.0,1,202001,111,338,2,3.9,Bajo,Medio
188,CANTACLARO,80269,002B,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,5.1,11.6,2,8.7,4.5,12.4,9,201809,137,77,2,2.1,Medio,Bajo
189,CANTACLARO,80269,002C,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.3,27.7,17.6,1,9.0,4.3,12.9,8,201708,157,968,2,8.8,Alto,Medio
190,CANTACLARO,80269,002C,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.6,12.4,12.9,2,9.9,4.7,14.0,9,201809,78,99,2,11.0,Bajo,Alto
191,CANTACLARO,80269,002C,Mecanizado Verde,CC01-1940,SI,BONUS 250 EC REGULADOR FISIOLÓGICO,1.2,26.4,16.0,3,9.3,3.0,12.0,1,202001,96,449,2,2.7,Bajo,Bajo
